X0 dyn,X0 lin,X0 diff,X1 dyn,X1 lin,X1 diff,X2 dyn,X2 lin,X2 diff,X3 dyn,X3 lin,X3 diff,X4 dyn,X4 lin,X4 diff,X5 dyn,X5 lin,X5 diff,X6 dyn,X6 lin,X6 diff,X7 dyn,X7 lin,X7 diff,X8 dyn,X8 lin,X8 diff,X9 dyn,X9 lin,X9 diff,X10 dyn,X10 lin,X10 diff,X11 dyn,X11 lin,X11 diff,X12 dyn,X12 lin,X12 diff,X13 dyn,X13 lin,X13 diff,X14 dyn,X14 lin,X14 diff,X15 dyn,X15 lin,X15 diff,
-0.562604,-0.563415,-0.000810206,-0.609883,-0.617022,-0.00713849,0.472599,0.472061,-0.00053826,-2.428,-2.43249,-0.00448966,0.27803,0.279276,0.0012463,0.254232,0.253471,-0.00076133,-0.296995,-0.297392,-0.000397116,0.000682876,-0.0191938,-0.0198766,0.0823025,0.0517887,-0.0305137,0.0309059,0.0341889,0.00328298,0.0333514,0.0600158,0.0266644,-0.0221252,0.0354586,0.0575837,0.0293061,0.0926997,0.0633936,2.9482e-06,-0.00585408,-0.00585702,0.432478,0.433065,0.000587344,-0.000253026,-0.00025302,6.19912e-09,
-0.562582,-0.56339,-0.000808358,-0.606609,-0.610424,-0.00381541,0.473825,0.473245,-0.000580013,-2.42665,-2.43116,-0.00450659,0.277144,0.278358,0.00121412,0.255424,0.254557,-0.00086689,-0.296995,-0.297393,-0.000397861,0.000579537,-0.0194625,-0.020042,0.081949,0.0514359,-0.0305132,0.0305509,0.0340277,0.00347673,0.0338275,0.060861,0.0270335,-0.0220842,0.0355217,0.0576059,0.030084,0.093543,0.063459,3.00734e-06,-0.00587647,-0.00587948,0.432478,0.433065,0.000587344,-0.00025303,-0.000253026,3.57977e-09,
-0.562564,-0.56325,-0.000685871,-0.603348,-0.607146,-0.00379819,0.475038,0.474473,-0.000564605,-2.42529,-2.43004,-0.00475669,0.27626,0.277438,0.00117812,0.256645,0.255831,-0.000814587,-0.296995,-0.297392,-0.000397086,0.000477188,-0.0197345,-0.0202117,0.0816052,0.0516395,-0.0299657,0.0302016,0.0339799,0.00377836,0.0342893,0.0612856,0.0269964,-0.0220451,0.0356255,0.0576706,0.0308242,0.0941047,0.0632805,3.06456e-06,-0.00589864,-0.00590171,0.432478,0.433065,0.000587314,-0.000253032,-0.00025303,2.44472e-09,
-0.56255,-0.56335,-0.000800192,-0.600101,-0.604124,-0.0040229,0.476237,0.477364,0.00112763,-2.4239,-2.42844,-0.00453901,0.275377,0.276633,0.00125629,0.257895,0.256959,-0.000936568,-0.296995,-0.297393,-0.000397801,0.000375861,-0.0200085,-0.0203843,0.0812706,0.0513029,-0.0299677,0.0298577,0.033704,0.0038463,0.0347371,0.061585,0.0268478,-0.0220077,0.0359211,0.0579288,0.0315278,0.0946739,0.0631461,3.11992e-06,-0.00592064,-0.00592376,0.432478,0.433065,0.000587314,-0.000253035,-0.000253032,2.38651e-09,
-0.56254,-0.563336,-0.000796199,-0.596867,-0.600872,-0.00400531,0.477422,0.478496,0.00107464,-2.4225,-2.42785,-0.00534439,0.274496,0.275668,0.0011723,0.259173,0.258228,-0.000945061,-0.296995,-0.297392,-0.000397086,0.000275582,-0.0202824,-0.020558,0.080945,0.0507084,-0.0302366,0.0295191,0.0334551,0.00393596,0.0351716,0.0624359,0.0272643,-0.0219719,0.0363211,0.0582929,0.0321961,0.0949978,0.0628016,3.17351e-06,-0.00594265,-0.00594582,0.432478,0.433065,0.000587344,-0.000253037,-0.000253034,2.35741e-09,
-0.562545,-0.563323,-0.000778615,-0.593691,-0.597634,-0.00394285,0.478565,0.47813,-0.000434786,-2.42106,-2.42566,-0.00459075,0.273464,0.274818,0.00135443,0.260062,0.25956,-0.00050205,-0.296945,-0.297392,-0.000446498,-0.000973422,-0.0205459,-0.0195725,0.0751318,0.0492793,-0.0258526,0.0259659,0.0331914,0.00722552,0.0371314,0.063181,0.0260496,-0.0376569,0.0363338,0.0739907,-0.00905635,0.0955971,0.104653,0.00420401,-0.00596406,-0.0101681,0.432512,0.433065,0.000552505,-0.000247534,-0.000253037,-5.5026e-06,
-0.562599,-0.56333,-0.000730693,-0.590812,-0.593155,-0.0023436,0.479554,0.47992,0.000366211,-2.41957,-2.42939,-0.00982237,0.271838,0.282401,0.0105624,0.259499,0.288798,0.0292998,-0.296772,-0.302982,-0.00621074,-0.00125539,0.169006,0.170262,0.0721462,1.14887,1.07672,0.0249301,0.834526,0.809596,0.0365454,-1.95611,-1.99265,-0.0399164,4.31918,4.3591,-0.0120375,14.5874,14.5995,0.00405919,-2.38821,-2.39226,0.43283,0.4331,0.000269562,-0.000215449,-0.000247534,-3.20849e-05,
-0.562653,-0.562094,0.00055933,-0.587884,-0.581244,0.00663918,0.480564,0.491161,0.0105968,-2.41814,-2.44337,-0.0252314,0.270268,0.303293,0.0330258,0.259065,0.329514,0.0704493,-0.296613,-0.307883,-0.0112702,-0.00148603,0.825335,0.826821,0.0740321,5.6971,5.62306,0.0252591,4.18123,4.15597,0.0351347,-11.4009,-11.436,-0.039697,14.6979,14.7376,-0.0111232,35.2213,35.2324,0.00400555,-4.84244,-4.84645,0.433166,0.433418,0.000251919,-0.000194908,-0.000215449,-2.05414e-05,
-0.562719,-0.562147,0.000572383,-0.584918,-0.579402,0.00551581,0.48157,0.488375,0.00680456,-2.41675,-2.44195,-0.0251997,0.268679,0.294657,0.025978,0.258596,0.329653,0.0710566,-0.296454,-0.306052,-0.00959802,-0.00164125,0.9427,0.944341,0.0746256,5.12009,5.04547,0.0251765,3.97637,3.9512,0.0343548,-9.93664,-9.971,-0.0397745,11.5124,11.5522,-0.0129096,34.8619,34.8748,0.00396703,-4.12119,-4.12516,0.433488,0.433754,0.000266075,-0.00019617,-0.000194908,1.26203e-06,
-0.562789,-0.562212,0.000577152,-0.581937,-0.574162,0.00777555,0.482573,0.489385,0.00681174,-2.41538,-2.43541,-0.0200293,0.267107,0.292812,0.0257047,0.258131,0.331565,0.0734343,-0.296299,-0.303314,-0.00701475,-0.0017513,0.86493,0.866682,0.0747426,5.00361,4.92886,0.0249804,3.87749,3.85251,0.0343435,-9.68436,-9.7187,-0.0390142,11.8155,11.8545,-0.010974,36.485,36.496,0.0038422,-2.72808,-2.73192,0.433809,0.434077,0.000268161,-0.000202166,-0.00019617,5.99631e-06,
-0.562864,-0.562281,0.000582993,-0.578962,-0.573629,0.00533342,0.483564,0.48975,0.00618619,-2.414,-2.43905,-0.0250511,0.265549,0.290648,0.0250987,0.257691,0.332366,0.0746753,-0.296143,-0.301831,-0.00568792,-0.0018597,0.789656,0.791516,0.0744674,4.83193,4.75746,0.0246554,3.7276,3.70295,0.0346459,-9.33582,-9.37047,-0.038853,11.3712,11.4101,-0.010653,36.1207,36.1314,0.00389142,-2.06322,-2.06711,0.434133,0.434398,0.000265062,-0.000211314,-0.000202166,9.14729e-06,
-0.562943,-0.562168,0.000774443,-0.575998,-0.564135,0.0118635,0.484543,0.490747,0.00620469,-2.4126,-2.43267,-0.0200691,0.263998,0.286699,0.0227013,0.25727,0.331844,0.0745738,-0.295986,-0.302142,-0.00615615,-0.00197388,0.805767,0.80774,0.0741742,4.79389,4.71972,0.0243261,3.69203,3.6677,0.0350135,-9.25063,-9.28564,-0.038547,11.6852,11.7238,-0.00958351,36.174,36.1836,0.00390307,-2.13074,-2.13464,0.434465,0.434723,0.00025773,-0.000223172,-0.000211314,1.18582e-05,
-0.563026,-0.556525,0.0065009,-0.573046,-0.546442,0.0266044,0.485509,0.508103,0.0225948,-2.4112,-2.47362,-0.0624228,0.262453,0.425214,0.162761,0.256866,0.605809,0.348943,-0.295826,-0.326761,-0.0309351,-0.00206139,3.99396,3.99602,0.0738908,16.5448,16.4709,0.0240307,12.4134,12.3894,0.0352742,-30.5849,-30.6202,-0.0386083,80.1746,80.2132,-0.0101928,174.129,174.14,0.00403337,-14.9666,-14.9706,0.434804,0.435055,0.00025031,-0.000237285,-0.000223172,1.41127e-05,
-0.563112,-0.562515,0.000597417,-0.570106,-0.568591,0.00151545,0.486462,0.491349,0.00488657,-2.40978,-2.42471,-0.0149288,0.260915,0.301288,0.040373,0.256481,0.338055,0.0815737,-0.295665,-0.30592,-0.010255,-0.00215765,0.877355,0.879512,0.0736026,3.64206,3.56845,0.023726,2.72035,2.69663,0.0355353,-6.48683,-6.52236,-0.038504,18.123,18.1615,-0.0100135,41.7465,41.7565,0.00408642,-4.21501,-4.2191,0.435152,0.435395,0.000243038,-0.00025364,-0.000237285,1.63552e-05,
-0.563204,-0.562536,0.000668049,-0.567177,-0.570829,-0.00365245,0.487403,0.487827,0.000423878,-2.40835,-2.41292,-0.00457215,0.259384,0.272155,0.0127707,0.256118,0.284592,0.0284746,-0.295503,-0.301227,-0.00572401,-0.00225975,0.185139,0.187399,0.073329,0.868938,0.795609,0.0234195,0.611063,0.587643,0.0358581,-1.29924,-1.33509,-0.0383098,5.34705,5.38536,-0.00942261,14.1927,14.2021,0.00412693,-2.09726,-2.10139,0.435507,0.435743,0.000235677,-0.000272102,-0.00025364,1.84623e-05,
-0.563299,-0.563988,-0.000688553,-0.564268,-0.567898,-0.00362992,0.488328,0.488707,0.000379115,-2.4069,-2.41149,-0.0045898,0.257855,0.267624,0.00976905,0.255765,0.284985,0.0292206,-0.295338,-0.301452,-0.00611365,-0.00235183,0.186753,0.189105,0.0728976,0.871748,0.79885,0.0230829,0.61186,0.588777,0.0362597,-1.30171,-1.33797,-0.0380838,5.37183,5.40992,-0.00863695,14.2924,14.3011,0.00415419,-2.12323,-2.12739,0.435871,0.436099,0.000227571,-0.000290808,-0.000272102,1.87063e-05,
-0.563401,-0.55956,0.00384068,-0.561387,-0.563464,-0.00207716,0.489233,0.489698,0.000464976,-2.40542,-2.41004,-0.00462103,0.256318,0.268831,0.0125123,0.255407,0.284109,0.028702,-0.295171,-0.300904,-0.00573337,-0.00252984,0.174406,0.176936,0.0719584,0.885358,0.8134,0.0224278,0.639931,0.617503,0.0371979,-1.35012,-1.38732,-0.0387601,4.46327,4.50203,-0.00974838,13.6041,13.6138,0.00424177,-1.90928,-1.91352,0.436243,0.436463,0.000220388,-0.000308218,-0.000290808,1.74096e-05,
-0.563507,-0.564188,-0.000681102,-0.558526,-0.562095,-0.00356907,0.49012,0.490544,0.000424117,-2.40393,-2.40856,-0.00463414,0.254781,0.262191,0.00741071,0.255055,0.287114,0.0320583,-0.295003,-0.296884,-0.00188071,-0.00267618,0.211992,0.214668,0.0709307,0.899381,0.82845,0.0216301,0.746791,0.725161,0.0386008,-1.24794,-1.28654,-0.0393896,2.83672,2.87611,-0.0121728,16.3954,16.4076,0.00358474,-1.83611,-1.83969,0.436621,0.436835,0.00021404,-0.000324988,-0.000308217,1.67709e-05,
